2024-10-25,21:55:43,Sample Rate(S):,1.000
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-2.2576200000e-08,-9.6634100000e-09,2.4557700000e-08,-1.5682700000e+02,2.0000000000e+01,4.2823400000e-05,-2.2009700000e-08,1.2874600000e-08,2.7450200000e-08,1.5076700000e+02,1.7684600000e-08,-2.0994700000e-08,2.8441000000e-08,-4.9624000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0830000000e+00
6.5325800000e-08,-3.6998500000e-08,7.5076100000e-08,-2.9526000000e+01,2.0000000000e+01,3.5871700000e-05,8.9133700000e-09,-7.5354400000e-08,7.5880100000e-08,-8.2690000000e+01,1.7712500000e-08,7.4642800000e-08,7.6715800000e-08,7.7147000000e+01,2.0880000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
2.2018200000e-08,4.2127900000e-08,4.7534900000e-08,6.2406000000e+01,2.0000000000e+01,2.7367600000e-05,4.6367300000e-08,6.6766100000e-09,4.6845500000e-08,8.4350000000e+00,-4.5102800000e-08,9.7711700000e-09,4.6149100000e-08,1.6811600000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
3.8431800000e-08,6.8973500000e-09,3.9046600000e-08,1.0175000000e+01,2.0000000000e+01,1.7639400000e-05,2.8715400000e-08,-2.6711300000e-08,3.9218900000e-08,-4.0561000000e+01,-1.9175100000e-08,3.4907800000e-08,3.9828200000e-08,1.1986100000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
2.3222600000e-08,-4.8935700000e-08,5.4166400000e-08,-6.4613000000e+01,2.0000000000e+01,2.7223300000e-06,-2.6294500000e-08,-4.8067600000e-08,5.4789600000e-08,-1.1846300000e+02,4.1921100000e-08,3.6285500000e-08,5.6121200000e-08,4.1020000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
3.0180200000e-08,-2.1617800000e-08,3.7124000000e-08,-3.5614000000e+01,2.0000000000e+01,1.1990100000e-06,1.1169000000e-09,-3.6607900000e-08,3.6625300000e-08,-8.7280000000e+01,1.1235700000e-08,3.4706500000e-08,3.6412900000e-08,7.3090000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-2.8677300000e-08,-8.2657900000e-08,8.7491300000e-08,-1.0913400000e+02,2.0000000000e+01,1.1297200000e-06,-8.4524000000e-08,-2.4940900000e-08,8.8126900000e-08,-1.6366800000e+02,8.8475800000e-08,-6.6936600000e-09,8.9803700000e-08,-4.6520000000e+00,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
4.8068000000e-08,3.9822000000e-08,6.2420600000e-08,3.9640000000e+01,2.0000000000e+01,1.0616900000e-06,6.1247900000e-08,-1.5937800000e-08,6.3287600000e-08,-1.4518000000e+01,-5.2455100000e-08,3.6972000000e-08,6.4175300000e-08,1.4482500000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-8.3426500000e-08,3.4298300000e-08,9.0201900000e-08,1.5765100000e+02,2.0000000000e+01,9.8435300000e-07,-2.1285100000e-08,8.7214900000e-08,8.9774900000e-08,1.0416000000e+02,-1.0119500000e-08,-8.8843700000e-08,8.9136000000e-08,-9.6036000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
3.3062600000e-08,7.9978900000e-08,8.6543500000e-08,6.7540000000e+01,2.0000000000e+01,8.9713500000e-07,8.4694500000e-08,2.0223900000e-08,8.7075700000e-08,1.3636000000e+01,-8.6994700000e-08,1.0717200000e-08,8.7652300000e-08,1.7313700000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
7.6749300000e-09,9.4289000000e-09,1.2158700000e-08,4.8198000000e+01,2.0000000000e+01,8.0010100000e-07,1.2421000000e-08,-1.3407700000e-09,1.2789900000e-08,-8.8450000000e+00,-1.1130100000e-08,7.5950500000e-09,1.3259700000e-08,1.4505100000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-3.5194200000e-09,7.8472600000e-08,7.8551600000e-08,9.2568000000e+01,2.0000000000e+01,6.9236900000e-07,6.1487900000e-08,4.9130300000e-08,7.8705600000e-08,3.9030000000e+01,-7.4912900000e-08,-2.4879100000e-08,7.8936200000e-08,-1.6088100000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-6.4260800000e-08,-9.0684500000e-08,1.1114500000e-07,-1.2523600000e+02,2.0000000000e+01,5.7647400000e-07,-1.1202200000e-07,-7.9027400000e-10,1.1293400000e-07,-1.7954600000e+02,1.0598400000e-07,-3.9669400000e-08,1.1480700000e-07,-2.0214000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-2.8969000000e-08,-5.3660400000e-09,2.9462500000e-08,-1.6950600000e+02,2.0000000000e+01,4.2900700000e-07,-2.0867900000e-08,2.1071800000e-08,2.9657000000e-08,1.3186000000e+02,1.0803700000e-08,-2.7851800000e-08,2.9897600000e-08,-7.0237000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-3.5693700000e-09,1.2827500000e-08,1.3315000000e-08,1.0660600000e+02,2.0000000000e+01,1.4581800000e-07,7.7771700000e-09,1.0043200000e-08,1.2107000000e-08,5.3746000000e+01,-1.0143400000e-08,-6.6335600000e-09,1.1542600000e-08,-1.4238400000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-6.3061200000e-08,4.1685700000e-09,6.3198900000e-08,1.7621800000e+02,2.0000000000e+01,4.1404200000e-08,-3.3367800000e-08,5.4337100000e-08,6.3764700000e-08,1.2077800000e+02,1.1385600000e-08,-6.3792100000e-08,6.5259500000e-08,-8.0343000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-9.3691500000e-09,-5.9692200000e-09,1.1110400000e-08,-1.4191900000e+02,2.0000000000e+01,4.1193700000e-08,-1.1274700000e-08,3.2924400000e-09,1.2210300000e-08,1.6613600000e+02,1.0059200000e-08,-6.8436100000e-09,1.2760800000e-08,-3.2434000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-1.5523900000e-08,2.7952900000e-08,3.1974400000e-08,1.1904600000e+02,2.0000000000e+01,4.7233300000e-08,1.4323900000e-08,2.9527300000e-08,3.4427100000e-08,6.2730000000e+01,-2.5555400000e-08,-2.3067800000e-08,3.5182400000e-08,-1.3873500000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
1.3091200000e-09,-4.4696100000e-08,4.4715400000e-08,-8.9198000000e+01,2.0000000000e+01,4.5552800000e-08,-3.7162300000e-08,-2.7440800000e-08,4.6195700000e-08,-1.4409900000e+02,4.5239700000e-08,1.2327400000e-08,4.7545700000e-08,1.4641000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-2.4537500000e-08,-1.3404400000e-08,2.7961200000e-08,-1.5473300000e+02,2.0000000000e+01,4.1932700000e-08,-2.4471700000e-08,1.3616400000e-08,2.7957600000e-08,1.4927600000e+02,1.7447800000e-08,-2.1843500000e-08,2.7863000000e-08,-5.2970000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
4.1715300000e-08,2.1354200000e-08,4.6863400000e-08,2.7108000000e+01,2.0000000000e+01,4.2691000000e-08,4.1878100000e-08,-2.2004200000e-08,4.7307300000e-08,-2.8237000000e+01,-3.1358800000e-08,3.5941800000e-08,4.7699100000e-08,1.3054200000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-3.8613600000e-08,-7.6621100000e-10,3.8621500000e-08,-1.7886300000e+02,2.0000000000e+01,4.3415100000e-08,-2.3786000000e-08,3.1145800000e-08,3.9189900000e-08,1.2823500000e+02,1.2217300000e-08,-3.8569500000e-08,4.1142100000e-08,-7.2152000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-7.5242900000e-08,-4.7163700000e-08,8.8802700000e-08,-1.4792000000e+02,2.0000000000e+01,4.4124500000e-08,-8.1635700000e-08,3.3885400000e-08,8.8389000000e-08,1.5722000000e+02,6.3835900000e-08,-6.0448900000e-08,8.7385800000e-08,-4.3647000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
1.6290000000e-08,3.6519100000e-08,3.9988200000e-08,6.5960000000e+01,2.0000000000e+01,3.9677600000e-08,3.8641500000e-08,7.1920400000e-09,3.9305600000e-08,9.5160000000e+00,-3.7849600000e-08,7.4550300000e-09,3.8577300000e-08,1.6691800000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-7.4896800000e-08,-3.1241800000e-09,7.4962300000e-08,-1.7761100000e+02,2.0000000000e+01,4.0574300000e-08,-4.4594100000e-08,5.9675300000e-08,7.4497200000e-08,1.2615000000e+02,1.9809600000e-08,-7.1471600000e-08,7.3772200000e-08,-7.5116000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-7.7543900000e-08,1.0550100000e-07,1.3093300000e-07,1.2643300000e+02,2.0000000000e+01,4.3374400000e-08,4.0040500000e-08,1.2377400000e-07,1.2927400000e-07,7.2222000000e+01,-8.0364200000e-08,-1.0126000000e-07,1.2849700000e-07,-1.2825900000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-2.1408200000e-08,-8.5240200000e-08,8.7887900000e-08,-1.0409800000e+02,2.0000000000e+01,4.3355300000e-08,-8.2514900000e-08,-3.0473300000e-08,8.7962600000e-08,-1.6035100000e+02,8.7893200000e-08,-1.5485700000e-09,8.7792100000e-08,-1.6140000000e+00,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-1.6088400000e-08,2.1880700000e-10,1.6091000000e-08,1.7922100000e+02,2.0000000000e+01,3.4180000000e-08,-8.4192800000e-09,1.3152900000e-08,1.4555900000e-08,1.1814300000e+02,1.8959800000e-09,-1.4431300000e-08,1.3971500000e-08,-8.4750000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
2.5006000000e-09,-7.4201600000e-08,7.4244000000e-08,-8.8070000000e+01,2.0000000000e+01,3.4451600000e-08,-5.9469100000e-08,-4.4916200000e-08,7.4525600000e-08,-1.4401200000e+02,7.2236900000e-08,1.9800700000e-08,7.4901800000e-08,1.4769000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
6.2968100000e-09,-2.5389700000e-08,2.6159800000e-08,-7.6071000000e+01,2.0000000000e+01,3.4877600000e-08,-1.6519400000e-08,-2.1577200000e-08,2.7175300000e-08,-1.2622600000e+02,2.3254700000e-08,1.5168300000e-08,2.8392500000e-08,3.4135000000e+01,2.0870000000e+00,2.0890000000e+00,2.0850000000e+00,2.0830000000e+00
-5.6440700000e-09,-3.9860800000e-08,4.0258600000e-08,-9.8059000000e+01,2.0000000000e+01,3.3098100000e-08,-3.4396200000e-08,-1.7259900000e-08,3.8483800000e-08,-1.5370300000e+02,3.7366500000e-08,3.6890400000e-09,3.6587700000e-08,5.3800000000e+00,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
1.7946300000e-08,2.0222000000e-08,2.7037300000e-08,4.8412000000e+01,2.0000000000e+01,3.0995400000e-08,2.6836800000e-08,-3.2732500000e-09,2.7036000000e-08,-7.9690000000e+00,-2.3667700000e-08,1.2918800000e-08,2.6964300000e-08,1.5035700000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-7.3076300000e-08,-1.4234400000e-08,7.4450200000e-08,-1.6835700000e+02,2.0000000000e+01,3.1777400000e-08,-5.5111900000e-08,5.0885400000e-08,7.5634800000e-08,1.3785600000e+02,3.4569100000e-08,-6.7272400000e-08,7.6313300000e-08,-6.2282000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-1.3615600000e-08,3.3017700000e-08,3.5715100000e-08,1.1082100000e+02,2.0000000000e+01,3.0518400000e-08,2.0396000000e-08,3.0769200000e-08,3.7458700000e-08,5.5561000000e+01,-3.0720400000e-08,-2.1432800000e-08,3.7958500000e-08,-1.4605800000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
1.3500100000e-07,9.8294800000e-08,1.6699400000e-07,3.6059000000e+01,2.0000000000e+01,5.4349500000e-08,1.5788500000e-07,-5.2057300000e-08,1.6624600000e-07,-1.8065000000e+01,-1.2856100000e-07,1.0308400000e-07,1.6478500000e-07,1.4140600000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
3.4391900000e-08,2.5623500000e-08,4.2888100000e-08,3.6688000000e+01,2.0000000000e+01,5.5515400000e-08,4.1285300000e-08,-1.3765900000e-08,4.3520200000e-08,-2.0140000000e+01,-3.3807200000e-08,2.9180100000e-08,4.5159300000e-08,1.3828300000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
1.3409200000e-08,3.3756500000e-08,3.6322400000e-08,6.8335000000e+01,2.0000000000e+01,5.4819600000e-08,3.4398000000e-08,9.4305700000e-09,3.5667600000e-08,1.6154000000e+01,-3.5318900000e-08,2.7825000000e-09,3.5428700000e-08,1.7640000000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
