2024-10-25,20:36:53,Sample Rate(S):,1.000
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-2.6217100000e-08,8.9889300000e-09,2.7715400000e-08,1.6107500000e+02,8.8800000000e+02,4.5596400000e-08,-8.6579600000e-09,2.6286800000e-08,2.7676000000e-08,1.0772100000e+02,2.7180800000e-08,5.0079500000e-09,2.7638400000e-08,9.9280000000e+00,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0840000000e+00
5.9056900000e-08,2.8430800000e-08,6.5544200000e-08,2.5707000000e+01,8.8800000000e+02,4.5978100000e-08,5.8280000000e-08,-2.9551400000e-08,6.5344100000e-08,-2.7147000000e+01,-3.6831300000e-08,-5.3734100000e-08,6.4752100000e-08,-1.2495100000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
5.9638900000e-08,-3.9133200000e-08,7.1331700000e-08,-3.3272000000e+01,8.8800000000e+02,4.3664400000e-08,5.6564400000e-09,-7.0906900000e-08,7.1132200000e-08,-8.5267000000e+01,-7.0859000000e-08,3.1537600000e-09,7.0929100000e-08,1.7762600000e+02,2.0860000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
2.2442600000e-08,-1.9490100000e-08,2.9724300000e-08,-4.0972000000e+01,8.8800000000e+02,4.2993200000e-08,-1.8545000000e-09,-2.9671200000e-08,2.9733100000e-08,-9.3845000000e+01,-2.9174400000e-08,5.7377700000e-09,2.9736300000e-08,1.6860300000e+02,2.0870000000e+00,2.0870000000e+00,2.0850000000e+00,2.0810000000e+00
7.3400300000e-09,-2.0500000000e-08,2.1774500000e-08,-7.0300000000e+01,8.8800000000e+02,4.4430300000e-08,-1.1803900000e-08,-1.8297200000e-08,2.1772800000e-08,-1.2319800000e+02,-1.6561200000e-08,1.4134500000e-08,2.1771600000e-08,1.3933800000e+02,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
1.9341900000e-08,-2.6854700000e-08,3.3095000000e-08,-5.4237000000e+01,8.8800000000e+02,4.2307400000e-08,-9.3883500000e-09,-3.1356900000e-08,3.2732200000e-08,-1.0671300000e+02,-2.9737400000e-08,1.3236400000e-08,3.2368100000e-08,1.5596200000e+02,2.0890000000e+00,2.0900000000e+00,2.0870000000e+00,2.0900000000e+00
-5.5616300000e-08,4.8219900000e-08,7.3609300000e-08,1.3907400000e+02,8.8800000000e+02,4.2255200000e-08,3.5969400000e-09,7.3706000000e-08,7.3793700000e-08,8.7440000000e+01,7.2800000000e-08,-1.2629800000e-08,7.3982200000e-08,-9.6090000000e+00,2.0860000000e+00,2.0870000000e+00,2.0860000000e+00,2.0840000000e+00
-2.1694200000e-08,1.3364000000e-08,2.5480100000e-08,1.4850500000e+02,8.8800000000e+02,4.5158800000e-08,-2.7264600000e-09,2.5233200000e-08,2.5282600000e-08,9.6308000000e+01,2.5279000000e-08,-4.2933600000e-10,2.5188000000e-08,-8.2900000000e-01,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0880000000e+00
-1.5753700000e-08,3.2049300000e-08,3.5711900000e-08,1.1617600000e+02,8.8800000000e+02,4.5084600000e-08,1.5537300000e-08,3.1938200000e-08,3.5517000000e-08,6.4501000000e+01,2.9530700000e-08,-1.9016800000e-08,3.4926000000e-08,-3.2556000000e+01,2.0870000000e+00,2.0870000000e+00,2.0850000000e+00,2.0810000000e+00
5.6829100000e-08,-2.2087200000e-08,6.0970400000e-08,-2.1239000000e+01,8.8800000000e+02,4.7200200000e-08,1.7245900000e-08,-5.8324600000e-08,6.0820900000e-08,-7.3428000000e+01,-5.9727000000e-08,-9.7699100000e-09,6.0520700000e-08,-1.7066000000e+02,2.0870000000e+00,2.0880000000e+00,2.0840000000e+00,2.0800000000e+00
1.6909100000e-09,1.1059000000e-08,1.1188000000e-08,8.3077000000e+01,8.8800000000e+02,4.2590500000e-08,9.7366700000e-09,5.7902400000e-09,1.1477900000e-08,3.2461000000e+01,4.8831900000e-09,-1.0380100000e-08,1.1635100000e-08,-6.3146000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
8.9056700000e-09,1.7625500000e-08,1.9747600000e-08,6.3194000000e+01,8.8800000000e+02,4.1786100000e-08,1.9364200000e-08,3.5687300000e-09,1.9690400000e-08,1.0025000000e+01,9.3973700000e-10,-1.9611700000e-08,1.9634300000e-08,-8.8101000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0830000000e+00
