2024-10-25,20:11:26,Sample Rate(S):,1.000
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-7.6050800000e-10,6.5168600000e-08,6.5173000000e-08,9.0669000000e+01,6.6600000000e+02,4.5381800000e-08,5.1529900000e-08,4.0096700000e-08,6.5292200000e-08,3.7953000000e+01,3.3115000000e-08,-5.6407100000e-08,6.5409200000e-08,-5.9520000000e+01,2.0880000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
6.6467300000e-09,5.3319800000e-08,5.3732500000e-08,8.2894000000e+01,6.6600000000e+02,4.1847400000e-08,4.6371500000e-08,2.7100800000e-08,5.3710100000e-08,3.0563000000e+01,2.0999100000e-08,-4.9410100000e-08,5.3687300000e-08,-6.6714000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
5.2710300000e-10,-6.6901000000e-09,6.7108400000e-09,-8.5495000000e+01,6.6600000000e+02,4.3763700000e-08,-4.8235000000e-09,-4.1909600000e-09,6.3898700000e-09,-1.3936000000e+02,-3.4028000000e-09,5.2195500000e-09,6.0727800000e-09,1.2274800000e+02,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
-6.9837000000e-08,-1.1750400000e-08,7.0818800000e-08,-1.7078600000e+02,6.6600000000e+02,4.5252900000e-08,-5.1186000000e-08,4.8804100000e-08,7.0630900000e-08,1.3602700000e+02,5.5284100000e-08,4.3958800000e-08,7.0451700000e-08,3.7813000000e+01,2.0860000000e+00,2.0890000000e+00,2.0860000000e+00,2.0860000000e+00
4.4371700000e-08,-5.2049700000e-08,6.8396100000e-08,-4.9553000000e+01,6.6600000000e+02,4.8292400000e-08,-1.4774600000e-08,-6.6768700000e-08,6.8355700000e-08,-1.0262800000e+02,-6.4165700000e-08,2.3564100000e-08,6.8339900000e-08,1.5976000000e+02,2.0860000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
-1.4198800000e-08,-8.9701800000e-09,1.6795000000e-08,-1.4826400000e+02,6.6600000000e+02,4.7418700000e-08,-1.5750100000e-08,6.0816300000e-09,1.6973800000e-08,1.5834100000e+02,8.2798600000e-09,1.4817300000e-08,1.7065700000e-08,6.0260000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
5.5039600000e-09,5.5406100000e-09,7.8097400000e-09,4.5190000000e+01,6.6600000000e+02,4.5206400000e-08,7.4254300000e-09,-9.5565300000e-10,7.4866800000e-09,-7.1740000000e+00,-1.8601400000e-09,-7.0844700000e-09,7.1623400000e-09,-1.0455400000e+02,2.0870000000e+00,2.0890000000e+00,2.0830000000e+00,2.0750000000e+00
-5.5123100000e-08,-6.0061000000e-08,8.1522300000e-08,-1.3254500000e+02,6.6600000000e+02,4.9024600000e-08,-8.1149500000e-08,7.4760000000e-09,8.1493200000e-08,1.7486800000e+02,1.7866600000e-08,7.9480500000e-08,8.1405400000e-08,7.7598000000e+01,2.0860000000e+00,2.0870000000e+00,2.0860000000e+00,2.0850000000e+00
-1.7323100000e-08,5.6114000000e-08,5.8727100000e-08,1.0715600000e+02,6.6600000000e+02,4.9046800000e-08,3.4114200000e-08,4.7663800000e-08,5.8614100000e-08,5.4509000000e+01,4.2766000000e-08,-3.9919100000e-08,5.8390100000e-08,-4.2926000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
1.7456000000e-08,3.5914800000e-08,3.9932400000e-08,6.4078000000e+01,6.6600000000e+02,4.5907600000e-08,3.9438300000e-08,7.5137200000e-09,4.0147700000e-08,1.0347000000e+01,1.9782700000e-09,-4.0314800000e-08,4.0363400000e-08,-8.8061000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-2.3537500000e-08,4.2937800000e-09,2.3926000000e-08,1.6966200000e+02,6.6600000000e+02,4.6936700000e-08,-1.0796500000e-08,2.0839100000e-08,2.3240600000e-08,1.1768200000e+02,2.1818700000e-08,8.0038900000e-09,2.3010400000e-08,2.0443000000e+01,2.0880000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
7.7404000000e-08,3.3016100000e-08,8.4151300000e-08,2.3100000000e+01,6.6600000000e+02,4.6790000000e-08,7.3136200000e-08,-4.1863900000e-08,8.4270400000e-08,-2.9825000000e+01,-5.1210500000e-08,-6.7072900000e-08,8.4387800000e-08,-1.2739800000e+02,2.0870000000e+00,2.0860000000e+00,2.0860000000e+00,2.0850000000e+00
2.3698200000e-08,2.1790200000e-08,3.2193500000e-08,4.2598000000e+01,6.6600000000e+02,4.8101100000e-08,3.1960300000e-08,-5.4759900000e-09,3.2426100000e-08,-9.2010000000e+00,-9.4064500000e-09,-3.1276600000e-08,3.2660600000e-08,-1.0571500000e+02,2.0860000000e+00,2.0870000000e+00,2.0860000000e+00,2.0840000000e+00
