2024-10-25,17:43:03,Sample Rate(S):,0.100
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-1.7102900000e-08,-2.1829400000e-08,2.7731400000e-08,-1.2807800000e+02,3.6666000000e+04,4.2097300000e-09,-1.9100800000e-09,-2.7629300000e-08,2.7576800000e-08,-9.4349000000e+01,5.4139200000e-09,-2.7040300000e-08,2.7362100000e-08,-7.9102000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0850000000e+00
6.6956800000e-09,2.0605900000e-09,7.0138000000e-09,1.7106000000e+01,3.6666000000e+04,4.2224600000e-09,5.3221500000e-09,4.8093400000e-09,7.1808200000e-09,2.5041000000e+01,5.6590400000e-09,4.8697300000e-09,7.4723500000e-09,3.2386000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
4.1646400000e-09,2.1809000000e-08,2.2203300000e-08,7.9189000000e+01,3.6666000000e+04,4.1711000000e-09,-8.8534600000e-09,2.1310500000e-08,2.3076700000e-08,1.1148900000e+02,-1.4395300000e-08,1.8992500000e-08,2.4465600000e-08,1.2606400000e+02,2.0860000000e+00,2.0870000000e+00,2.0850000000e+00,2.0810000000e+00
-1.2020300000e-08,2.9420500000e-08,3.1781500000e-08,1.1275000000e+02,3.6666000000e+04,4.0193000000e-09,-2.6092700000e-08,1.6858700000e-08,2.9913700000e-08,1.4777700000e+02,-2.8674000000e-08,8.5218800000e-09,2.8374700000e-08,1.6420500000e+02,2.0880000000e+00,2.0890000000e+00,2.0860000000e+00,2.0850000000e+00
-2.2227800000e-08,1.7397000000e-08,2.8226900000e-08,1.4195100000e+02,3.6666000000e+04,4.0306500000e-09,-2.8770200000e-08,9.0609800000e-10,2.8784700000e-08,1.7882900000e+02,-2.8323500000e-08,-7.3249900000e-09,2.9765900000e-08,-1.6501700000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0840000000e+00
-6.1136300000e-09,9.9499300000e-09,1.1678100000e-08,1.2127300000e+02,3.6666000000e+04,4.1669600000e-09,-1.1972500000e-08,5.4169900000e-09,1.4576800000e-08,1.5509300000e+02,-1.4387700000e-08,2.7872500000e-09,1.5937500000e-08,1.6992800000e+02,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
-5.8818600000e-09,-1.4728000000e-08,1.5862100000e-08,-1.0401800000e+02,3.6666000000e+04,3.9927800000e-09,5.2456400000e-09,-1.4131400000e-08,1.4822100000e-08,-6.5652000000e+01,9.5294300000e-09,-1.0630000000e-08,1.4751600000e-08,-4.2495000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0860000000e+00
-3.3999700000e-08,-1.2298600000e-09,3.4023100000e-08,-1.7501700000e+02,3.6666000000e+04,3.6422800000e-09,-2.8104700000e-08,-2.3058400000e-08,3.7268900000e-08,-1.3931600000e+02,-2.0648200000e-08,-3.1025100000e-08,3.7988500000e-08,-1.2226900000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0840000000e+00
-1.4339700000e-08,3.7657800000e-09,1.4828700000e-08,1.6891900000e+02,3.6666000000e+04,3.7585500000e-09,-1.3769500000e-08,-6.7200900000e-09,1.5081400000e-08,-1.5353600000e+02,-1.1182500000e-08,-1.0598100000e-08,1.5031200000e-08,-1.3054100000e+02,2.0870000000e+00,2.0880000000e+00,2.0840000000e+00,2.0810000000e+00
7.3071400000e-09,-1.3569800000e-08,1.5412200000e-08,-6.3137000000e+01,3.6666000000e+04,3.7818900000e-09,1.4896200000e-08,-8.1737600000e-09,1.7610900000e-08,-3.0221000000e+01,1.7045400000e-08,-4.4238900000e-09,1.8126200000e-08,-1.6330000000e+01,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0850000000e+00
9.9574900000e-09,-6.7779100000e-09,1.2045400000e-08,-3.5066000000e+01,3.6666000000e+04,3.5838300000e-09,1.1010800000e-08,-1.3112900000e-10,9.9220300000e-09,-2.0910000000e+00,9.6440800000e-09,2.3297200000e-09,7.7515000000e-09,8.9620000000e+00,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
3.7619600000e-09,-1.4676800000e-08,1.5151500000e-08,-7.4628000000e+01,3.6666000000e+04,3.8056400000e-09,1.1513500000e-08,-9.7451800000e-09,1.5187500000e-08,-3.8767000000e+01,1.3970200000e-08,-5.9021700000e-09,1.5373000000e-08,-2.2577000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
2.0835200000e-08,7.3074100000e-09,2.2079500000e-08,1.9327000000e+01,3.6666000000e+04,4.0468800000e-09,1.3667400000e-08,1.8706900000e-08,2.3478800000e-08,5.3850000000e+01,8.2145500000e-09,2.1994700000e-08,2.3639600000e-08,6.9649000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
3.6507300000e-09,3.4560800000e-09,5.0301600000e-09,4.3431000000e+01,3.6666000000e+04,4.1400200000e-09,2.0989900000e-09,5.0895900000e-09,5.5062300000e-09,6.5006000000e+01,9.1399900000e-10,5.5679700000e-09,5.7024500000e-09,7.9697000000e+01,2.0870000000e+00,2.0890000000e+00,2.0850000000e+00,2.0820000000e+00
3.6457800000e-09,-2.7900800000e-08,2.8138000000e-08,-8.2555000000e+01,3.6666000000e+04,4.1781000000e-09,1.8407400000e-08,-2.0611600000e-08,2.7049200000e-08,-4.8476000000e+01,2.2735300000e-08,-1.4654600000e-08,2.6418900000e-08,-3.3007000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0820000000e+00
-5.5528200000e-09,-7.1527400000e-10,5.5994200000e-09,-1.7266000000e+02,3.6666000000e+04,4.0607000000e-09,-4.5664100000e-09,-4.5143700000e-09,7.0274200000e-09,-1.3269500000e+02,-3.1928900000e-09,-6.2597800000e-09,7.4113700000e-09,-1.1486500000e+02,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
7.5345600000e-09,7.2896500000e-09,1.0484600000e-08,4.6310000000e+01,3.6666000000e+04,4.3163500000e-09,1.6476400000e-09,1.0053100000e-08,9.8318400000e-09,8.2342000000e+01,-1.3706200000e-09,8.5393700000e-09,8.6742100000e-09,1.0011300000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0810000000e+00
-1.0272200000e-08,-1.1492600000e-08,1.5415800000e-08,-1.3494400000e+02,3.6666000000e+04,4.3162800000e-09,-2.6901800000e-09,-1.4431200000e-08,1.3952900000e-08,-1.0415400000e+02,-5.8465700000e-10,-1.3303000000e-08,1.3318900000e-08,-9.6835000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
1.0200100000e-08,-1.0320900000e-08,1.4515600000e-08,-4.0000000000e+01,3.6666000000e+04,4.0206900000e-09,1.4277800000e-08,2.3838500000e-11,1.4236900000e-08,9.6000000000e-02,1.3695400000e-08,6.8522600000e-09,1.4415600000e-08,3.5463000000e+01,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0840000000e+00
1.1632300000e-09,-2.6288200000e-10,1.2194100000e-09,-6.3453000000e+01,3.6666000000e+04,4.1302300000e-09,9.3813700000e-10,-5.2157400000e-10,1.5614800000e-09,-5.8025000000e+01,1.1502900000e-09,-1.6249200000e-09,2.0732600000e-09,-5.1622000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
-7.1272100000e-09,-1.5172700000e-09,7.2901800000e-09,-1.5690100000e+02,3.6666000000e+04,4.3448600000e-09,-3.1421400000e-09,-4.9287800000e-09,5.3276800000e-09,-1.1852500000e+02,-1.1851200000e-09,-4.8449200000e-09,4.9299100000e-09,-1.0064900000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-2.3386000000e-08,-3.2569200000e-08,4.0096400000e-08,-1.2568000000e+02,3.6666000000e+04,4.4881500000e-09,-2.2065500000e-10,-4.0156100000e-08,4.0051700000e-08,-8.9564000000e+01,1.1111600000e-08,-3.8479100000e-08,3.9834400000e-08,-7.3967000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0840000000e+00
-3.4214800000e-08,8.1400000000e-09,3.5169900000e-08,1.6661800000e+02,3.6666000000e+04,4.4595600000e-09,-3.2774000000e-08,-1.2916200000e-08,3.5200200000e-08,-1.5814300000e+02,-2.7915600000e-08,-2.1442300000e-08,3.5127200000e-08,-1.4227400000e+02,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
7.7433700000e-09,2.2692300000e-08,2.3980100000e-08,7.1159000000e+01,3.6666000000e+04,4.6687800000e-09,-7.8227500000e-09,2.3393500000e-08,2.4669300000e-08,1.1110900000e+02,-1.5160400000e-08,2.0279200000e-08,2.6403900000e-08,1.3093900000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-1.1636700000e-08,-1.2606000000e-08,1.7156400000e-08,-1.3113300000e+02,3.6666000000e+04,4.6667700000e-09,-1.9969800000e-09,-1.7086800000e-08,1.7112400000e-08,-9.3090000000e+01,3.7271600000e-09,-1.6795000000e-08,1.7339000000e-08,-7.5619000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.5436200000e-08,-1.9711100000e-08,2.5036100000e-08,-1.2806500000e+02,3.6666000000e+04,4.6315800000e-09,-1.3815900000e-09,-2.4098900000e-08,2.3221600000e-08,-9.3062000000e+01,5.0693500000e-09,-2.2661500000e-08,2.2265700000e-08,-7.7142000000e+01,2.0870000000e+00,2.0880000000e+00,2.0840000000e+00,2.0810000000e+00
7.5243400000e-10,2.3212700000e-08,2.3228600000e-08,8.8143000000e+01,3.6666000000e+04,5.3871500000e-09,-1.3287400000e-08,1.8274400000e-08,2.0831600000e-08,1.3256900000e+02,-1.7710000000e-08,1.0963500000e-08,1.9692100000e-08,1.5141300000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-7.7201100000e-09,-3.1255900000e-08,3.2195200000e-08,-1.0387400000e+02,3.6666000000e+04,5.1694000000e-09,1.0873200000e-08,-2.9525400000e-08,3.0621100000e-08,-7.0347000000e+01,1.7704700000e-08,-2.4983200000e-08,2.8658900000e-08,-5.6456000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
-1.4146100000e-08,-1.8393600000e-08,2.3205300000e-08,-1.3195200000e+02,3.6666000000e+04,5.5811700000e-09,-2.8415800000e-09,-2.1388900000e-08,2.0819600000e-08,-9.9963000000e+01,2.0707700000e-09,-2.0715200000e-08,2.0203700000e-08,-8.6575000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
