2024-10-25,17:27:37,Sample Rate(S):,0.100
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-6.7193100000e-08,-1.9070500000e-07,2.0219700000e-07,-1.0940900000e+02,6.6600000000e+02,2.7761700000e-08,-1.7401000000e-07,-1.0476400000e-07,2.0125500000e-07,-1.4734900000e+02,-1.6647900000e-07,-1.1307800000e-07,1.9880000000e-07,-1.4560800000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
1.0096800000e-07,-1.7298500000e-08,1.0245100000e-07,-6.8180000000e+00,6.6600000000e+02,2.9654700000e-08,6.8070400000e-08,-7.6851200000e-08,1.0053500000e-07,-4.8129000000e+01,6.9072200000e-08,-7.3029000000e-08,1.0203500000e-07,-4.5305000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
3.5544000000e-08,-4.3666500000e-08,5.6309300000e-08,-5.0855000000e+01,6.6600000000e+02,2.8657600000e-08,-5.7130300000e-09,-4.7752100000e-08,4.8098600000e-08,-9.6448000000e+01,-3.5133200000e-09,-4.0869700000e-08,3.2320100000e-08,-1.0150000000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0770000000e+00
1.1541900000e-07,3.5826200000e-08,1.2085800000e-07,1.7244000000e+01,6.6600000000e+02,2.8904300000e-08,1.0911400000e-07,-4.5252700000e-08,1.1024100000e-07,-2.0585000000e+01,1.0420100000e-07,-3.1741700000e-08,1.0422600000e-07,-1.7735000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
2.7298900000e-08,-3.7604100000e-09,2.7689100000e-08,-7.8430000000e+00,6.6600000000e+02,2.9168400000e-08,2.8376500000e-08,-1.1638200000e-08,3.0799700000e-08,-9.9020000000e+00,3.6449600000e-08,-5.3612800000e-09,3.7002700000e-08,3.5850000000e+00,2.0880000000e+00,2.0890000000e+00,2.0860000000e+00,2.0820000000e+00
3.7932200000e-08,-1.0104100000e-07,1.0792900000e-07,-6.9701000000e+01,6.6600000000e+02,2.6951100000e-08,-3.9546900000e-08,-1.0117300000e-07,1.0593600000e-07,-1.1310900000e+02,-3.8953300000e-08,-9.6366300000e-08,1.0634800000e-07,-1.1502200000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
7.9924200000e-08,-1.1258500000e-08,8.0721200000e-08,-6.7090000000e+00,6.6600000000e+02,2.6847000000e-08,5.5119600000e-08,-6.1989900000e-08,8.2970700000e-08,-4.8282000000e+01,6.1221900000e-08,-6.5074400000e-08,9.2022500000e-08,-4.4812000000e+01,2.0870000000e+00,2.0880000000e+00,2.0840000000e+00,2.0790000000e+00
-6.2344500000e-08,-9.9827500000e-08,1.1769800000e-07,-1.1706500000e+02,6.6600000000e+02,2.5403500000e-08,-1.1024700000e-07,-4.2952900000e-08,1.1522400000e-07,-1.5591900000e+02,-1.0386500000e-07,-5.3613000000e-08,1.1637400000e-07,-1.4972400000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-1.0799700000e-07,-7.7641000000e-09,1.0828800000e-07,-1.7456700000e+02,6.6600000000e+02,2.5325700000e-08,-8.7199300000e-08,6.3856200000e-08,1.0336000000e-07,1.4473600000e+02,-8.5939900000e-08,5.5348900000e-08,1.0353300000e-07,1.4768200000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
5.2288400000e-08,-4.5491400000e-08,6.9320200000e-08,-4.1024000000e+01,6.6600000000e+02,2.4585300000e-08,9.2918400000e-09,-5.9241300000e-08,5.9983500000e-08,-8.1853000000e+01,9.1336700000e-09,-5.3539400000e-08,5.4319000000e-08,-7.6714000000e+01,2.0870000000e+00,2.0900000000e+00,2.0860000000e+00,2.0820000000e+00
1.1050600000e-08,1.4892000000e-07,1.4934500000e-07,8.2605000000e+01,6.6600000000e+02,2.4649600000e-08,1.0618800000e-07,9.2165500000e-08,1.2394300000e-07,3.6058000000e+01,9.8207300000e-08,7.5609500000e-08,1.1770600000e-07,3.5420000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-4.2858100000e-08,4.2744600000e-08,6.0550700000e-08,1.3507600000e+02,6.6600000000e+02,2.1187900000e-08,1.3598100000e-08,5.4051800000e-08,5.6780300000e-08,6.6002000000e+01,2.1625900000e-08,5.2303600000e-08,5.6507000000e-08,5.3349000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-5.2000500000e-08,-3.6325000000e-08,6.3443200000e-08,-1.4506400000e+02,6.6600000000e+02,2.1490500000e-08,-6.5104300000e-08,1.6609400000e-08,6.7317500000e-08,1.5784000000e+02,-6.3626500000e-08,2.3947900000e-08,7.9656900000e-08,1.4679700000e+02,2.0870000000e+00,2.0890000000e+00,2.0840000000e+00,2.0760000000e+00
-5.4755000000e-08,2.1752600000e-07,2.2431500000e-07,1.0412900000e+02,6.6600000000e+02,2.3067500000e-08,1.0013100000e-07,1.9156600000e-07,2.1281900000e-07,6.2120000000e+01,9.4445900000e-08,1.9071200000e-07,2.0679800000e-07,6.4640000000e+01,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
-3.7614300000e-08,-1.0979300000e-07,1.1608300000e-07,-1.1511100000e+02,6.6600000000e+02,2.3741700000e-08,-1.0371800000e-07,-3.5966900000e-08,1.0879300000e-07,-1.6068800000e+02,-1.0163600000e-07,-1.7404200000e-08,1.0169000000e-07,-1.7771600000e+02,2.0870000000e+00,2.0890000000e+00,2.0850000000e+00,2.0840000000e+00
7.4678700000e-08,3.3940800000e-08,8.2030600000e-08,2.4441000000e+01,6.6600000000e+02,2.4046700000e-08,7.1286800000e-08,-2.9161200000e-08,7.7098100000e-08,-2.7284000000e+01,6.0081300000e-08,-2.8979800000e-08,6.6711800000e-08,-3.3886000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0900000000e+00
4.3796300000e-08,-3.1638100000e-08,5.4041200000e-08,-3.5844000000e+01,6.6600000000e+02,2.4719100000e-08,1.2500100000e-08,-5.6058300000e-08,6.3319100000e-08,-7.1000000000e+01,2.2195100000e-08,-5.9255000000e-08,6.9060900000e-08,-6.4826000000e+01,2.0870000000e+00,2.0880000000e+00,2.0840000000e+00,2.0800000000e+00
-5.2769300000e-08,4.2848100000e-08,6.7993600000e-08,1.4092400000e+02,6.6600000000e+02,2.4382200000e-08,-1.4920200000e-08,6.1608000000e-08,6.3408800000e-08,1.0503900000e+02,-1.7327800000e-08,5.8224900000e-08,5.8038500000e-08,1.1346900000e+02,2.0860000000e+00,2.0890000000e+00,2.0860000000e+00,2.0850000000e+00
-6.0113600000e-08,1.5345200000e-07,1.6480900000e-07,1.1139200000e+02,6.6600000000e+02,2.4566200000e-08,5.5318100000e-08,1.5632300000e-07,1.6582400000e-07,7.0420000000e+01,5.0974500000e-08,1.5645600000e-07,1.6455600000e-07,7.1566000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-2.5903400000e-08,5.8574500000e-09,2.6587900000e-08,1.6725800000e+02,6.6600000000e+02,2.4545400000e-08,-1.1539700000e-08,1.5117600000e-08,9.5388800000e-09,1.3299600000e+02,-6.6305900000e-09,6.7402300000e-09,6.2676500000e-09,1.1930700000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-4.3209800000e-08,1.2615900000e-07,1.3336900000e-07,1.0890600000e+02,6.6600000000e+02,2.4864700000e-08,4.9784700000e-08,1.2174600000e-07,1.3153300000e-07,6.9576000000e+01,4.1015600000e-08,1.1986600000e-07,1.2670000000e-07,7.3569000000e+01,2.0870000000e+00,2.0890000000e+00,2.0890000000e+00,2.0900000000e+00
