# Wavelength (nm)	Smoothed Intensity
365.167175	74.668825
365.333282	74.684535
365.499420	74.686300
365.665527	74.683982
365.831635	74.679361
365.997742	74.679215
366.163818	74.716462
366.329926	74.721294
366.496002	74.737679
366.662079	74.771847
366.828156	74.741360
366.994202	74.771785
367.160248	74.783861
367.326294	74.784785
367.492340	74.795242
367.658386	74.801679
367.824402	74.801591
367.990448	74.812644
368.156464	74.853025
368.322449	74.860358
368.488464	74.843426
368.654449	74.849214
368.820435	74.853618
368.986420	74.858444
369.152405	74.884747
369.318390	74.908599
369.484344	74.893152
369.650299	74.925223
369.816254	74.935142
369.982178	74.965354
370.148132	75.004363
370.314056	75.004391
370.479980	75.021026
370.645905	75.037753
370.811798	75.019557
370.977692	75.027106
371.143616	75.040832
371.309479	75.054221
371.475372	75.053191
371.641266	75.061660
371.807129	75.061921
371.972992	75.071883
372.138855	75.101649
372.304688	75.110531
372.470551	75.105868
372.636383	75.107192
372.802216	75.123313
372.968018	75.109646
373.133850	75.120410
373.299652	75.120142
373.465454	75.108575
373.631256	75.113273
373.797058	75.091300
373.962830	75.078133
374.128601	75.103267
374.294373	75.101155
374.460144	75.123964
374.625916	75.135798
374.791656	75.137780
374.957397	75.142016
375.123138	75.167681
375.288879	75.177642
375.454590	75.176715
375.620331	75.177857
375.786041	75.198284
375.951721	75.199798
376.117432	75.191105
376.283112	75.190810
376.448822	75.178910
376.614471	75.171611
376.780151	75.185418
376.945831	75.205258
377.111481	75.215877
377.277130	75.256735
377.442780	75.274729
377.608429	75.288586
377.774048	75.285306
377.939667	75.273602
378.105286	75.284344
378.270905	75.291264
378.436523	75.303870
378.602112	75.288946
378.767700	75.275276
378.933289	75.275359
379.098877	75.251929
379.264435	75.244425
379.429993	75.264784
379.595551	75.292788
379.761108	75.290820
379.926666	75.304417
380.092194	75.308223
380.257721	75.283890
380.423248	75.292224
380.588776	75.263087
380.754272	75.244346
380.919800	75.239803
381.085297	75.242618
381.250793	75.236910
381.416260	75.222063
381.581757	75.243037
381.747223	75.250100
381.912689	75.272703
382.078125	75.299974
382.243591	75.293388
382.409027	75.309693
382.574463	75.312117
382.739899	75.307006
382.905334	75.287925
383.070740	75.310866
383.236176	75.318565
383.401581	75.322675
383.566956	75.356388
383.732361	75.382467
383.897736	75.376936
384.063110	75.407344
384.228485	75.428935
384.393860	75.444668
384.559204	75.478091
384.724579	75.485659
384.889923	75.480622
385.055237	75.492573
385.220581	75.494240
385.385895	75.489907
385.551239	75.533815
385.716522	75.530425
385.881836	75.566846
386.047150	75.588177
386.212433	75.591165
386.377716	75.600939
386.542999	75.606254
386.708252	75.612861
386.873535	75.605735
387.038788	75.596214
387.204041	75.612731
387.369293	75.595834
387.534515	75.582673
387.699738	75.561509
387.864960	75.562052
388.030182	75.579630
388.195404	75.558768
388.360596	75.565268
388.525787	75.560106
388.690979	75.568588
388.856171	75.567187
389.021362	75.586110
389.186523	75.563408
389.351685	75.548373
389.516846	75.575552
389.682007	75.595039
389.847137	75.602216
390.012268	75.611316
390.177399	75.631074
390.342529	75.638818
390.507629	75.634093
390.672760	75.613236
390.837860	75.636282
391.002960	75.644978
391.168030	75.653494
391.333130	75.675705
391.498199	75.691772
391.663269	75.684727
391.828339	75.697298
391.993378	75.721889
392.158447	75.725439
392.323486	75.739198
392.488525	75.726622
392.653534	75.738427
392.818573	75.738977
392.983582	75.704989
393.148590	75.729624
393.313599	75.709704
393.478577	75.713408
393.643585	75.708668
393.808563	75.741786
393.973541	75.765022
394.138489	75.766260
394.303467	75.793223
394.468414	75.784191
394.633362	75.780508
394.798309	75.772743
394.963226	75.770837
395.128174	75.776572
395.293091	75.772126
395.458008	75.774614
395.622894	75.764585
395.787811	75.805817
395.952698	75.839444
396.117584	75.842566
396.282471	75.848127
396.447327	75.830883
396.612213	75.841294
396.777069	75.826261
396.941925	75.818066
397.106750	75.804328
397.271606	75.823153
397.436432	75.826926
397.601257	75.833133
397.766083	75.849026
397.930878	75.863167
398.095703	75.883469
