# Wavelength (nm)	Smoothed Intensity
299.383362	5.307077
299.552002	5.414877
299.720612	5.524214
299.889191	5.635047
300.057800	5.747335
300.226379	5.861037
300.394958	5.976113
300.563538	6.092523
300.732117	6.210225
300.900696	6.329178
301.069244	6.449343
301.237793	6.570677
301.406342	6.693142
301.574890	6.816695
301.743408	6.941296
301.911957	7.066905
302.080475	7.193480
302.248993	7.320981
302.417480	7.449368
302.585999	7.578599
302.754486	7.773404
302.922974	7.904846
303.091461	8.037180
303.259949	8.169110
303.428436	8.301540
303.596893	8.434574
303.765350	8.568011
303.933807	8.702809
304.102264	8.837804
304.270691	8.973914
304.439117	9.109778
304.607574	9.246115
304.776001	9.382387
304.944397	9.519316
305.112823	9.656753
305.281219	9.793734
305.449615	9.931862
305.618011	10.070207
305.786407	10.209916
305.954773	10.350254
306.123169	10.491264
306.291534	10.632451
306.459900	10.773774
306.628235	10.915654
306.796600	11.057646
306.964935	11.199137
307.133270	11.340332
307.301605	11.481696
307.469940	11.623542
307.638245	11.765892
307.806580	11.908757
307.974884	12.051032
308.143188	12.192621
308.311462	12.334617
308.479767	12.475749
308.648041	12.616725
308.816315	12.757150
308.984589	12.897458
309.152863	13.037660
309.321106	13.177043
309.489380	13.316040
309.657623	13.453932
309.825867	13.591275
309.994080	13.728491
310.162323	13.865671
310.330536	14.002415
310.498749	14.139890
310.666962	14.277093
310.835175	14.414160
311.003357	14.550123
311.171539	14.686075
311.339752	14.822299
311.507904	14.957610
311.676086	15.093002
311.844238	15.228243
312.012421	15.363544
312.180573	15.497868
312.348724	15.631362
312.516846	15.763195
312.684998	15.894397
312.853119	16.024813
313.021240	16.154271
313.189362	16.283235
313.357452	16.410850
313.525574	16.538205
313.693665	16.665242
313.861755	16.791323
314.029846	16.915711
314.197937	17.038910
314.365997	17.162668
314.534058	17.285947
314.702118	17.408403
314.870178	17.530753
315.038239	17.651047
315.206268	17.770993
315.374298	17.890234
315.542328	18.009555
315.710358	18.128881
315.878357	18.247527
316.046387	18.365977
316.214386	18.484431
316.382385	18.603314
316.550385	18.721888
316.718353	18.840527
316.886353	18.957648
317.054321	19.075039
317.222290	19.191177
317.390259	19.305461
317.558197	19.418287
317.726135	19.528560
317.894104	19.636814
318.062012	19.743159
318.229950	19.848570
318.397888	19.953163
318.565796	20.055577
318.733704	20.156766
318.901611	20.256952
319.069519	20.355176
319.237396	20.452164
319.405304	20.547913
319.573181	20.642152
319.741058	20.735190
319.908905	20.827389
320.076782	20.918932
320.244629	21.009797
320.412476	21.099086
320.580322	21.187373
320.748169	21.277376
320.915985	21.367666
321.083801	21.457259
321.251617	21.546890
321.419434	21.637252
321.587250	21.727565
321.755035	21.818597
321.922821	21.910014
322.090607	22.001007
322.258392	22.092047
322.426178	22.183220
322.593933	22.274693
322.761719	22.366177
322.929474	22.456990
323.097198	22.547375
323.264954	22.637346
323.432678	22.725574
323.600403	22.814198
323.768127	22.900700
323.935852	22.985865
324.103577	23.069186
324.271271	23.151931
324.438965	23.234368
324.606659	23.316229
324.774353	23.397112
324.942047	23.477286
325.109711	23.555332
325.277374	23.633225
325.445038	23.710432
325.612701	23.786075
325.780334	23.860894
325.947968	23.935018
326.115631	24.007721
326.283234	24.080268
326.450867	24.151868
326.618500	24.222815
326.786102	24.294056
326.953705	24.364084
327.121307	24.434727
327.288879	24.506492
327.456482	24.578257
327.624054	24.650053
327.791626	24.721858
327.959198	24.792964
328.126770	24.863311
328.294312	24.932839
328.461853	25.003308
328.629395	25.072911
328.796936	25.142792
328.964478	25.212406
329.131989	25.281593
329.299500	25.350074
329.467010	25.419176
329.634521	25.487917
329.802002	25.556335
329.969513	25.623770
330.136993	25.689835
330.304474	25.755191
330.471954	25.820395
330.639404	25.884495
330.806854	25.948317
330.974335	26.010585
331.141754	26.072697
331.309204	26.134027
331.476654	26.195031
331.644073	26.255612
331.811493	26.315712
331.978912	26.375226
332.146332	26.432077
332.313721	26.487937
332.481110	26.543067
332.648499	26.598049
332.815887	26.651974
332.983276	26.704218
333.150635	26.756512
333.317993	26.808831
333.485352	26.860692
333.652710	26.912176
333.820068	26.962083
333.987396	27.011439
334.154724	27.058542
334.322052	27.104702
334.489380	27.149334
334.656708	27.193996
334.824005	27.238085
334.991302	27.280648
335.158600	27.321802
335.325897	27.362338
335.493164	27.403249
335.660431	27.444128
335.827728	27.484644
335.994965	27.524457
336.162231	27.562855
336.329498	27.602176
336.496735	27.640563
336.663971	27.678939
336.831207	27.718199
336.998413	27.757596
337.165649	27.797200
337.332855	27.837611
337.500061	27.879686
337.667267	27.922884
337.834442	27.965804
338.001648	28.009066
338.168823	28.052485
338.335999	28.096357
338.503174	28.140252
338.670319	28.184172
338.837494	28.229254
339.004639	28.275108
339.171783	28.321301
339.338898	28.367570
339.506042	28.413584
339.673157	28.459796
339.840271	28.505759
340.007385	28.550618
340.174500	28.593846
340.341583	28.636266
340.508667	28.679084
340.675751	28.719629
340.842834	28.759657
341.009918	28.798594
341.176971	28.837596
341.344055	28.874639
341.511108	28.910528
341.678131	28.946712
341.845184	28.982344
342.012207	29.017368
342.179230	29.051035
342.346252	29.083360
342.513275	29.115304
342.680298	29.146732
342.847290	29.179601
343.014282	29.210889
343.181274	29.241791
343.348267	29.272449
343.515228	29.303668
343.682190	29.334927
343.849152	29.365756
344.016113	29.397139
344.183075	29.426521
344.350006	29.455418
344.516968	29.484366
344.683899	29.513834
344.850800	29.543061
345.017731	29.572167
345.184631	29.601007
345.351532	29.629362
345.518433	29.656723
345.685333	29.684096
345.852234	29.710672
346.019104	29.736881
346.185974	29.762368
346.352844	29.787750
346.519714	29.813200
346.686554	29.837832
346.853424	29.862461
347.020264	29.887568
347.187073	29.911955
347.353912	29.936931
347.520721	29.962762
347.687561	29.988467
347.854370	30.013762
348.021179	30.039480
348.187958	30.065800
348.354736	30.091745
348.521545	30.117752
348.688324	30.143718
348.855072	30.170926
349.021851	30.198090
349.188599	30.225118
349.355347	30.252709
349.522095	30.279777
349.688843	30.307153
349.855560	30.334583
350.022308	30.362929
350.189026	30.390936
350.355743	30.417630
350.522430	30.444212
350.689148	30.469066
350.855835	30.494493
351.022522	30.519527
351.189209	30.544221
351.355865	30.568532
351.522522	30.592884
351.689209	30.616804
351.855865	30.640075
352.022491	30.663449
352.189148	30.687240
352.355774	30.710102
352.522400	30.733225
352.689026	30.755720
352.855652	30.778512
353.022247	30.801407
353.188843	30.824517
353.355438	30.847918
353.522034	30.871728
353.688629	30.895304
353.855194	30.919548
354.021759	30.944777
354.188324	30.969506
354.354889	30.994046
354.521454	31.018042
354.687988	31.041067
354.854523	31.063336
355.021057	31.085257
355.187592	31.107040
355.354095	31.129201
355.520599	31.149780
355.687134	31.170432
355.853607	31.190564
356.020111	31.210231
356.186584	31.228922
356.353088	31.247151
356.519562	31.264679
356.686005	31.280927
356.852478	31.296572
357.018921	31.312027
357.185364	31.326907
357.351807	31.341334
357.518250	31.355214
357.684692	31.370052
357.851105	31.385310
358.017517	31.400427
358.183929	31.414919
358.350311	31.429240
358.516724	31.444611
