# Wavelength (nm)	Smoothed Intensity
345.852234	29.702200
346.019104	29.745946
346.185974	29.741290
346.352844	29.779875
346.519714	29.808649
346.686554	29.838624
346.853424	29.859484
347.020264	29.874049
347.187073	29.902836
347.353912	29.908603
347.520721	29.952178
347.687561	29.975717
347.854370	30.001418
348.021179	30.006678
348.187958	30.035618
348.354736	30.050784
348.521545	30.085260
348.688324	30.114377
348.855072	30.164242
349.021851	30.172126
349.188599	30.217271
349.355347	30.229083
349.522095	30.276263
349.688843	30.300325
349.855560	30.321956
350.022308	30.367736
350.189026	30.394667
350.355743	30.412049
350.522430	30.440199
350.689148	30.466474
350.855835	30.476265
351.022522	30.507956
351.189209	30.530495
351.355865	30.561528
351.522522	30.577965
351.689209	30.610010
351.855865	30.630210
352.022491	30.665443
352.189148	30.661421
352.355774	30.706189
352.522400	30.722294
352.689026	30.752862
352.855652	30.760952
353.022247	30.785873
353.188843	30.809692
353.355438	30.809622
353.522034	30.830559
353.688629	30.870981
353.855194	30.894779
354.021759	30.938740
354.188324	30.961132
354.354889	30.991461
354.521454	31.023795
354.687988	31.033181
354.854523	31.049712
355.021057	31.061360
355.187592	31.097658
355.354095	31.110009
355.520599	31.137166
355.687134	31.159205
355.853607	31.187541
356.020111	31.207103
356.186584	31.239127
356.353088	31.256099
356.519562	31.264692
356.686005	31.297174
356.852478	31.310908
357.018921	31.330380
357.185364	31.333802
357.351807	31.321527
357.518250	31.324769
357.684692	31.338447
357.851105	31.352183
358.017517	31.388358
358.183929	31.406665
358.350311	31.430738
358.516724	31.437569
358.683105	31.444256
358.849487	31.460756
359.015869	31.481931
359.182220	31.492041
359.348602	31.515521
359.514954	31.530143
359.681305	31.546337
359.847656	31.569237
360.013977	31.581449
360.180298	31.592633
360.346649	31.614675
360.512939	31.634180
360.679260	31.677685
360.845581	31.710732
361.011871	31.713479
361.178162	31.734264
361.344452	31.747560
361.510712	31.780984
361.677002	31.798154
361.843262	31.807794
362.009521	31.840707
362.175751	31.857837
362.342010	31.866751
362.508240	31.892699
362.674469	31.904972
362.840698	31.922341
363.006927	31.934034
363.173126	31.952134
363.339325	31.953525
363.505524	32.003713
363.671722	32.004128
363.837921	32.039389
364.004089	32.046332
364.170258	32.075519
364.336426	32.111874
364.502594	32.128650
364.668762	32.150931
364.834900	32.149753
365.001038	32.180500
365.167175	32.209756
365.333282	32.223682
365.499420	32.242688
365.665527	32.236870
365.831635	32.234485
365.997742	32.255741
366.163818	32.275534
366.329926	32.289665
366.496002	32.298972
366.662079	32.336833
366.828156	32.324375
366.994202	32.353313
367.160248	32.366014
367.326294	32.396375
367.492340	32.397665
367.658386	32.404683
367.824402	32.418459
367.990448	32.433604
368.156464	32.443790
368.322449	32.447548
368.488464	32.441691
368.654449	32.445485
368.820435	32.448428
368.986420	32.482287
369.152405	32.524512
369.318390	32.533445
369.484344	32.542982
369.650299	32.569407
369.816254	32.582975
369.982178	32.597291
370.148132	32.618548
370.314056	32.635317
370.479980	32.660749
370.645905	32.665019
370.811798	32.678949
370.977692	32.692591
371.143616	32.707781
371.309479	32.720252
371.475372	32.742414
371.641266	32.764383
371.807129	32.790550
371.972992	32.814985
372.138855	32.838583
372.304688	32.853354
372.470551	32.847323
372.636383	32.850616
372.802216	32.855443
372.968018	32.868055
373.133850	32.888363
373.299652	32.898785
373.465454	32.917839
373.631256	32.930908
373.797058	32.932496
373.962830	32.948727
374.128601	32.961583
374.294373	32.972305
374.460144	32.979766
374.625916	32.989886
374.791656	32.993337
374.957397	32.992196
375.123138	32.997423
375.288879	32.995637
375.454590	33.004498
375.620331	33.005611
375.786041	33.041760
375.951721	33.058037
376.117432	33.079539
376.283112	33.091555
376.448822	33.108876
376.614471	33.103709
376.780151	33.110609
376.945831	33.117911
377.111481	33.124825
377.277130	33.131258
377.442780	33.157136
377.608429	33.175696
377.774048	33.180255
377.939667	33.174111
378.105286	33.182861
378.270905	33.206563
378.436523	33.232387
378.602112	33.235445
378.767700	33.236496
378.933289	33.254739
379.098877	33.248026
379.264435	33.256756
