# Wavelength (nm)	Smoothed Intensity
299.383362	10.994554
299.552002	11.175199
299.720612	11.347240
299.889191	11.479308
300.057800	11.653391
300.226379	11.825028
300.394958	12.010195
300.563538	12.168380
300.732117	12.343013
300.900696	12.520681
301.069244	12.695375
301.237793	12.871547
301.406342	13.060817
301.574890	13.239879
301.743408	13.430384
301.911957	13.612014
302.080475	13.802277
302.248993	14.002532
302.417480	14.186259
302.585999	14.376947
302.754486	14.578090
302.922974	14.754238
303.091461	14.947547
303.259949	15.142067
303.428436	15.339717
303.596893	15.512878
303.765350	15.705647
303.933807	15.901078
304.102264	16.089360
304.270691	16.282341
304.439117	16.468622
304.607574	16.653887
304.776001	16.816700
304.944397	17.017485
305.112823	17.177016
305.281219	17.355398
305.449615	17.537830
305.618011	17.713882
305.786407	17.899648
305.954773	18.075511
306.123169	18.259274
306.291534	18.450410
306.459900	18.628590
306.628235	18.817300
306.796600	18.997721
306.964935	19.186671
307.133270	19.365401
307.301605	19.545354
307.469940	19.731362
307.638245	19.900513
307.806580	20.081311
307.974884	20.261016
308.143188	20.439975
308.311462	20.626904
308.479767	20.811004
308.648041	21.011188
308.816315	21.184114
308.984589	21.355736
309.152863	21.536812
309.321106	21.701064
309.489380	21.864744
309.657623	22.030375
309.825867	22.210054
309.994080	22.372059
310.162323	22.540352
310.330536	22.703608
310.498749	22.877021
310.666962	23.037416
310.835175	23.188923
311.003357	23.355333
311.171539	23.516820
311.339752	23.686513
311.507904	23.865229
311.676086	24.016393
311.844238	24.179659
312.012421	24.317391
312.180573	24.469361
312.348724	24.622211
312.516846	24.762930
312.684998	24.930924
312.853119	25.086397
313.021240	25.225217
313.189362	25.356947
313.357452	25.509619
313.525574	25.666142
313.693665	25.819319
313.861755	25.950183
314.029846	26.093491
314.197937	26.249483
314.365997	26.374806
314.534058	26.528784
314.702118	26.663178
314.870178	26.800011
315.038239	26.921343
315.206268	27.041197
315.374298	27.176929
315.542328	27.334321
315.710358	27.450448
315.878357	27.614412
316.046387	27.744792
316.214386	27.891757
316.382385	28.036722
316.550385	28.168213
316.718353	28.283151
316.886353	28.396310
317.054321	28.520166
317.222290	28.632436
317.390259	28.790256
317.558197	28.917917
317.726135	29.060014
317.894104	29.163679
318.062012	29.269563
318.229950	29.389134
318.397888	29.519634
318.565796	29.638460
318.733704	29.767094
318.901611	29.858269
319.069519	29.998846
319.237396	30.087192
319.405304	30.194786
319.573181	30.298291
319.741058	30.406986
319.908905	30.509851
320.076782	30.630850
320.244629	30.745577
320.412476	30.842556
320.580322	30.970639
320.748169	31.041008
320.915985	31.144115
321.083801	31.241027
321.251617	31.352858
321.419434	31.458869
321.587250	31.553403
321.755035	31.671013
321.922821	31.793380
322.090607	31.882304
322.258392	31.984099
322.426178	32.084335
322.593933	32.189844
322.761719	32.280025
322.929474	32.352715
323.097198	32.445671
323.264954	32.554038
323.432678	32.642903
323.600403	32.746376
323.768127	32.848216
323.935852	32.936940
324.103577	33.044860
324.271271	33.123255
324.438965	33.213384
324.606659	33.292046
324.774353	33.380925
324.942047	33.451484
325.109711	33.514735
325.277374	33.590371
325.445038	33.673907
325.612701	33.751824
325.780334	33.796388
325.947968	33.857054
326.115631	33.915794
326.283234	34.020704
326.450867	34.100087
326.618500	34.187304
326.786102	34.263742
326.953705	34.303393
327.121307	34.377744
327.288879	34.447281
327.456482	34.524433
327.624054	34.597374
327.791626	34.656440
327.959198	34.718941
328.126770	34.799939
328.294312	34.868268
328.461853	34.954517
328.629395	35.020483
328.796936	35.081152
328.964478	35.161489
329.131989	35.257084
329.299500	35.338202
329.467010	35.421718
329.634521	35.473106
329.802002	35.539050
329.969513	35.600564
330.136993	35.683236
330.304474	35.758406
330.471954	35.809915
330.639404	35.880812
330.806854	35.927414
330.974335	36.003619
331.141754	36.078426
331.309204	36.171065
331.476654	36.227226
331.644073	36.311408
331.811493	36.341555
331.978912	36.399147
332.146332	36.462986
332.313721	36.515521
332.481110	36.575049
332.648499	36.631656
332.815887	36.665136
332.983276	36.714633
333.150635	36.753312
333.317993	36.804958
333.485352	36.858735
333.652710	36.923143
333.820068	36.975690
333.987396	37.023791
334.154724	37.062061
334.322052	37.101450
334.489380	37.133883
334.656708	37.175350
334.824005	37.207381
334.991302	37.221930
335.158600	37.276657
335.325897	37.337514
335.493164	37.386999
335.660431	37.426831
335.827728	37.481270
335.994965	37.526316
336.162231	37.593658
336.329498	37.644947
336.496735	37.680722
336.663971	37.709540
336.831207	37.738949
336.998413	37.779267
337.165649	37.837781
337.332855	37.874003
337.500061	37.925331
337.667267	37.949774
337.834442	38.008554
338.001648	38.036294
338.168823	38.092611
338.335999	38.156106
338.503174	38.209503
338.670319	38.230143
338.837494	38.267274
339.004639	38.316483
339.171783	38.333660
339.338898	38.365969
339.506042	38.403739
339.673157	38.438412
339.840271	38.492741
340.007385	38.531284
340.174500	38.587144
340.341583	38.639051
340.508667	38.654831
340.675751	38.695674
340.842834	38.733487
341.009918	38.784413
341.176971	38.821147
341.344055	38.866332
341.511108	38.909111
341.678131	38.942138
341.845184	38.971212
342.012207	39.012403
342.179230	39.038325
342.346252	39.060759
342.513275	39.112001
342.680298	39.166708
342.847290	39.205759
343.014282	39.239161
343.181274	39.275482
343.348267	39.316953
343.515228	39.342863
343.682190	39.372278
343.849152	39.418042
344.016113	39.447978
344.183075	39.488252
344.350006	39.524979
344.516968	39.562955
344.683899	39.608478
344.850800	39.637292
345.017731	39.668959
345.184631	39.707573
345.351532	39.738702
345.518433	39.767420
345.685333	39.802942
345.852234	39.816242
346.019104	39.842463
346.185974	39.863988
346.352844	39.899887
346.519714	39.919012
346.686554	39.952464
346.853424	39.989636
347.020264	40.004592
347.187073	40.043005
347.353912	40.073082
347.520721	40.095437
347.687561	40.144090
347.854370	40.149625
348.021179	40.143289
348.187958	40.178399
348.354736	40.204482
348.521545	40.235560
348.688324	40.272811
348.855072	40.312034
349.021851	40.327389
349.188599	40.364367
349.355347	40.391315
349.522095	40.428874
349.688843	40.456548
349.855560	40.497487
350.022308	40.525680
350.189026	40.539478
350.355743	40.559998
350.522430	40.566571
350.689148	40.617563
350.855835	40.640768
351.022522	40.650694
351.189209	40.688879
351.355865	40.731345
351.522522	40.753256
351.689209	40.778130
351.855865	40.795902
352.022491	40.814630
352.189148	40.832724
352.355774	40.880741
352.522400	40.913717
352.689026	40.935756
352.855652	40.932490
353.022247	40.958889
353.188843	40.968694
353.355438	40.990100
353.522034	41.016164
353.688629	41.050061
353.855194	41.095667
354.021759	41.103173
354.188324	41.124827
354.354889	41.145323
354.521454	41.165498
354.687988	41.169485
354.854523	41.197811
355.021057	41.233697
355.187592	41.259063
355.354095	41.286126
355.520599	41.310876
355.687134	41.303341
355.853607	41.309227
356.020111	41.331657
356.186584	41.383723
356.353088	41.392760
356.519562	41.420006
356.686005	41.444088
356.852478	41.449043
357.018921	41.465958
357.185364	41.481580
357.351807	41.494883
357.518250	41.524624
357.684692	41.531995
357.851105	41.566558
358.017517	41.611519
358.183929	41.600910
358.350311	41.612728
358.516724	41.626086
358.683105	41.634617
358.849487	41.664079
359.015869	41.714590
359.182220	41.746572
359.348602	41.769965
359.514954	41.785618
359.681305	41.823989
359.847656	41.845023
360.013977	41.857229
360.180298	41.876203
360.346649	41.877944
360.512939	41.866849
360.679260	41.900455
360.845581	41.905755
361.011871	41.924493
361.178162	41.936879
361.344452	41.946892
361.510712	41.982560
361.677002	41.999334
361.843262	42.025040
362.009521	42.058548
362.175751	42.068191
362.342010	42.084049
362.508240	42.091887
362.674469	42.090797
362.840698	42.107680
363.006927	42.118123
363.173126	42.145855
363.339325	42.167169
363.505524	42.198320
363.671722	42.228768
363.837921	42.274276
364.004089	42.286391
364.170258	42.315989
364.336426	42.356140
364.502594	42.372722
364.668762	42.399228
364.834900	42.407975
365.001038	42.429860
365.167175	42.449349
365.333282	42.461049
365.499420	42.489735
365.665527	42.499375
365.831635	42.507836
365.997742	42.538259
366.163818	42.557158
366.329926	42.563890
366.496002	42.569610
366.662079	42.589546
366.828156	42.610900
366.994202	42.629304
367.160248	42.634434
367.326294	42.633932
367.492340	42.642003
367.658386	42.645676
367.824402	42.648816
367.990448	42.659330
368.156464	42.681087
368.322449	42.698228
368.488464	42.689777
368.654449	42.697692
368.820435	42.694049
368.986420	42.705755
369.152405	42.743768
369.318390	42.769038
369.484344	42.764471
369.650299	42.792481
369.816254	42.822272
369.982178	42.831165
370.148132	42.838957
370.314056	42.859086
370.479980	42.884781
370.645905	42.906279
370.811798	42.932427
370.977692	42.947250
371.143616	42.958946
371.309479	42.969773
371.475372	43.005593
371.641266	43.020777
371.807129	43.060743
371.972992	43.091016
372.138855	43.126242
372.304688	43.131766
372.470551	43.132963
372.636383	43.116772
372.802216	43.139292
372.968018	43.126940
373.133850	43.125186
373.299652	43.135370
373.465454	43.143563
373.631256	43.155588
373.797058	43.150073
373.962830	43.162913
374.128601	43.163857
374.294373	43.182747
374.460144	43.199042
374.625916	43.203670
374.791656	43.176001
374.957397	43.174889
375.123138	43.172254
375.288879	43.149417
375.454590	43.158917
375.620331	43.167198
375.786041	43.184685
375.951721	43.204090
376.117432	43.218618
376.283112	43.247254
376.448822	43.272336
376.614471	43.280133
376.780151	43.281751
376.945831	43.293651
377.111481	43.308533
377.277130	43.325081
377.442780	43.336176
377.608429	43.340092
377.774048	43.352517
377.939667	43.362701
378.105286	43.396689
378.270905	43.425813
378.436523	43.437910
378.602112	43.458625
378.767700	43.443102
378.933289	43.470728
379.098877	43.459663
379.264435	43.469995
379.429993	43.487220
379.595551	43.522286
379.761108	43.502071
379.926666	43.504078
380.092194	43.519290
380.257721	43.514900
380.423248	43.525331
380.588776	43.527690
380.754272	43.548233
380.919800	43.556009
381.085297	43.566534
381.250793	43.572618
381.416260	43.562059
381.581757	43.573848
381.747223	43.607198
381.912689	43.628171
382.078125	43.641655
382.243591	43.644620
382.409027	43.666424
382.574463	43.678227
382.739899	43.671295
382.905334	43.635977
383.070740	43.670131
383.236176	43.687716
383.401581	43.704046
383.566956	43.716643
383.732361	43.726252
383.897736	43.744820
384.063110	43.759895
384.228485	43.771358
384.393860	43.795859
384.559204	43.833210
384.724579	43.858367
384.889923	43.863065
385.055237	43.855751
385.220581	43.864285
385.385895	43.889961
385.551239	43.900092
385.716522	43.921521
385.881836	43.946797
386.047150	43.977539
386.212433	44.022192
386.377716	44.034756
386.542999	44.042012
386.708252	44.060165
386.873535	44.077352
387.038788	44.128977
387.204041	44.134037
387.369293	44.135203
387.534515	44.143738
387.699738	44.146292
387.864960	44.157932
388.030182	44.177393
388.195404	44.181458
388.360596	44.204838
388.525787	44.228852
388.690979	44.238385
388.856171	44.243097
389.021362	44.255540
389.186523	44.256504
389.351685	44.270998
389.516846	44.272867
389.682007	44.288708
389.847137	44.308677
390.012268	44.332990
390.177399	44.358531
390.342529	44.349398
390.507629	44.346025
390.672760	44.344503
390.837860	44.325526
391.002960	44.343314
391.168030	44.333262
391.333130	44.338131
391.498199	44.341878
391.663269	44.350554
391.828339	44.351912
391.993378	44.369246
392.158447	44.385991
392.323486	44.403713
392.488525	44.401396
392.653534	44.402279
392.818573	44.414713
392.983582	44.429695
393.148590	44.455485
393.313599	44.435194
393.478577	44.450149
393.643585	44.444174
393.808563	44.486707
393.973541	44.500838
394.138489	44.540789
394.303467	44.544966
394.468414	44.546295
394.633362	44.542471
394.798309	44.565454
394.963226	44.574285
395.128174	44.570202
395.293091	44.578610
395.458008	44.594892
395.622894	44.581367
395.787811	44.608754
395.952698	44.629378
396.117584	44.650801
396.282471	44.654851
396.447327	44.671156
396.612213	44.680151
396.777069	44.695018
396.941925	44.708998
397.106750	44.723234
397.271606	44.741070
397.436432	44.757505
397.601257	44.776034
397.766083	44.804860
397.930878	44.842545
398.095703	44.849519
398.260498	44.852208
398.425293	44.879718
398.590057	44.890896
398.754852	44.901161
398.919617	44.916686
399.084381	44.931775
399.249146	44.938222
399.413879	44.939965
399.578644	44.957056
399.743378	44.957305
399.908112	44.999915
400.072815	44.981945
400.237549	45.010937
400.402252	45.005344
400.566956	45.012527
400.731659	45.004305
400.896332	45.025315
401.061035	45.049033
401.225708	45.044045
401.390381	45.070876
401.555023	45.094707
401.719696	45.118802
401.884338	45.135439
402.048981	45.157328
402.213623	45.188607
402.378235	45.186481
402.542847	45.211706
402.707489	45.223359
402.872070	45.241662
403.036682	45.242892
403.201294	45.249204
403.365875	45.277347
403.530457	45.248131
403.695007	45.248089
403.859589	45.280877
404.024139	45.318153
404.188690	45.295116
404.353241	45.282722
404.517792	45.304844
404.682312	45.283147
404.846832	45.301231
405.011353	45.289407
405.175873	45.289544
405.340393	45.293671
405.504883	45.279818
405.669373	45.319396
405.833862	45.308661
405.998322	45.312216
406.162811	45.312145
406.327271	45.339183
406.491730	45.312220
406.656189	45.317996
406.820618	45.355090
406.985046	45.367525
407.149475	45.358489
407.313904	45.345268
407.478333	45.393131
407.642731	45.415305
407.807129	45.422063
407.971527	45.446958
408.135925	45.425916
408.300293	45.444421
408.464661	45.452297
408.629028	45.470481
408.793396	45.466433
408.957764	45.456199
409.122101	45.480069
409.286438	45.507699
409.450775	45.516621
409.615112	45.507566
409.779419	45.537959
409.943726	45.546261
410.108032	45.555688
410.272339	45.575145
410.436646	45.587223
410.600922	45.621031
410.765198	45.620784
410.929474	45.615675
411.093750	45.634730
411.257996	45.646129
411.422241	45.657556
411.586487	45.639879
411.750732	45.649502
411.914948	45.643946
412.079193	45.668966
412.243408	45.695979
412.407623	45.692533
412.571808	45.657380
412.735992	45.657281
412.900208	45.667502
413.064392	45.678666
413.228546	45.679492
413.392731	45.704823
413.556885	45.733982
413.721039	45.749579
413.885193	45.761306
414.049316	45.753554
414.213470	45.796125
414.377594	45.793326
414.541718	45.812270
414.705811	45.817946
414.869934	45.858546
415.034027	45.867509
415.198120	45.880810
415.362213	45.933198
415.526276	45.933726
415.690338	45.962142
415.854431	46.011042
416.018463	46.030056
416.182526	46.049062
416.346558	46.072744
416.510620	46.096803
416.674622	46.093702
416.838654	46.082635
417.002686	46.094643
417.166687	46.115025
417.330688	46.128705
417.494690	46.112739
417.658661	46.096341
417.822662	46.105447
417.986633	46.130828
418.150604	46.134578
418.314545	46.133069
418.478516	46.140478
418.642456	46.094789
418.806396	46.112355
418.970337	46.092104
419.134247	46.097604
419.298187	46.091935
419.462097	46.097707
419.625977	46.108428
419.789886	46.117711
419.953766	46.154220
420.117676	46.191791
420.281555	46.206785
420.445404	46.197837
420.609283	46.224234
420.773132	46.248448
420.936981	46.292059
421.100830	46.307355
421.264648	46.320563
421.428497	46.325346
421.592316	46.356411
421.756134	46.354519
421.919922	46.395148
422.083740	46.396374
422.247528	46.421914
422.411316	46.421992
422.575104	46.426203
422.738861	46.417493
422.902618	46.452747
423.066406	46.472471
423.230133	46.455864
423.393890	46.449404
423.557617	46.453904
423.721344	46.473058
423.885071	46.490258
424.048798	46.491047
424.212524	46.480850
424.376221	46.457980
424.539917	46.457742
424.703583	46.474627
424.867279	46.464946
425.030945	46.489804
425.194611	46.513522
425.358276	46.507391
425.521942	46.541397
425.685577	46.564598
425.849213	46.584620
426.012848	46.619374
426.176483	46.612014
426.340118	46.628224
426.503723	46.648855
426.667328	46.659708
426.830933	46.688458
426.994507	46.693275
427.158112	46.660437
427.321686	46.684297
427.485229	46.693930
427.648804	46.712449
427.812378	46.733920
427.975922	46.740769
428.139465	46.768780
428.302979	46.781649
428.466522	46.763798
428.630035	46.781899
428.793549	46.767382
428.957062	46.737418
429.120575	46.732357
429.284058	46.745527
429.447540	46.735707
429.611023	46.730493
429.774506	46.719075
429.937958	46.721636
430.101410	46.719866
430.264862	46.707675
430.428314	46.744735
430.591736	46.747444
430.755188	46.760860
430.918610	46.794740
431.082031	46.802418
431.245422	46.815741
431.408813	46.840908
431.572235	46.848271
431.735596	46.870198
431.898987	46.879205
432.062378	46.895666
432.225739	46.935339
432.389099	46.985034
432.552429	46.971978
432.715790	46.991299
432.879120	46.987768
433.042450	47.002588
433.205780	47.020169
433.369110	47.003045
433.532410	47.027502
433.695709	47.038392
433.859009	47.041976
434.022308	47.052356
434.185577	47.065086
434.348846	47.083772
434.512115	47.091029
434.675385	47.080856
434.838654	47.098263
435.001892	47.106263
435.165131	47.113788
435.328369	47.113651
435.491577	47.117890
435.654816	47.091331
435.818024	47.110704
435.981232	47.131583
436.144409	47.156222
436.307617	47.171691
436.470795	47.162402
436.633972	47.196456
436.797119	47.218233
436.960297	47.208007
437.123444	47.209652
437.286591	47.246942
437.449738	47.226923
437.612885	47.234887
437.776001	47.243862
437.939117	47.263300
438.102234	47.262425
438.265350	47.273396
438.428436	47.291268
438.591522	47.283150
438.754608	47.284986
438.917694	47.294020
439.080750	47.300555
439.243835	47.270198
439.406891	47.281224
439.569916	47.298803
439.732971	47.316498
439.895996	47.302382
440.059021	47.297807
440.222046	47.319663
440.385071	47.340253
440.548065	47.331466
440.711060	47.346297
440.874054	47.356372
441.037048	47.361533
441.200012	47.368627
441.363007	47.393633
441.525970	47.396110
441.688904	47.401154
441.851868	47.432652
442.014801	47.459592
442.177734	47.492577
442.340668	47.500692
442.503601	47.534717
442.666504	47.534323
442.829407	47.537765
442.992310	47.543855
443.155212	47.585996
443.318085	47.593798
443.480957	47.593888
443.643829	47.585676
443.806702	47.599232
443.969543	47.613579
444.132416	47.617527
444.295258	47.647805
444.458069	47.654383
444.620911	47.644336
444.783722	47.642747
444.946533	47.672722
445.109344	47.673645
445.272156	47.672396
445.434937	47.659640
445.597717	47.673117
445.760498	47.687228
445.923279	47.714034
446.086060	47.689287
446.248810	47.684744
446.411560	47.689747
446.574280	47.696748
446.737030	47.713600
446.899750	47.748449
447.062469	47.753993
447.225189	47.766444
447.387909	47.751151
447.550598	47.752055
447.713287	47.767309
447.875977	47.780413
448.038666	47.802209
448.201324	47.800208
448.363983	47.788564
448.526642	47.810272
448.689301	47.834211
448.851929	47.841689
449.014587	47.830970
449.177216	47.832732
449.339813	47.850233
449.502441	47.875582
449.665039	47.870974
449.827637	47.872752
449.990234	47.883340
450.152832	47.886112
450.315399	47.885943
450.477966	47.907979
450.640533	47.939410
450.803101	47.965677
450.965637	47.950738
451.128174	47.956581
451.290710	47.946207
451.453247	47.949552
451.615784	47.976730
451.778290	47.980204
451.940796	47.989214
452.103302	48.016394
452.265778	48.047469
452.428253	48.048477
452.590729	48.061500
452.753204	48.066634
452.915680	48.051366
453.078125	48.059533
453.240570	48.080915
453.403015	48.079289
453.565460	48.111558
453.727875	48.078045
453.890289	48.083069
454.052704	48.063249
454.215118	48.085821
454.377533	48.084835
454.539917	48.129846
454.702301	48.124245
454.864685	48.163272
455.027039	48.160310
455.189392	48.161126
455.351746	48.177034
455.514099	48.186507
455.676453	48.187563
455.838776	48.220660
456.001099	48.255823
456.163422	48.277606
456.325745	48.284135
456.488037	48.274998
456.650330	48.286100
456.812622	48.263138
456.974915	48.310706
457.137177	48.327080
457.299469	48.340240
