# Wavelength (nm)	Smoothed Intensity
299.383362	22.897009
299.552002	23.132599
299.720612	23.385237
299.889191	23.614794
300.057800	23.863148
300.226379	24.124659
300.394958	24.377845
300.563538	24.615384
300.732117	24.855282
300.900696	25.092767
301.069244	25.340000
301.237793	25.597751
301.406342	25.833972
301.574890	26.069685
301.743408	26.324260
301.911957	26.580769
302.080475	26.837053
302.248993	27.066347
302.417480	27.324109
302.585999	27.569132
302.754486	27.826417
302.922974	28.067512
303.091461	28.313637
303.259949	28.559523
303.428436	28.793660
303.596893	29.026567
303.765350	29.269256
303.933807	29.528210
304.102264	29.776987
304.270691	30.019705
304.439117	30.254226
304.607574	30.496416
304.776001	30.710402
304.944397	30.966591
305.112823	31.174574
305.281219	31.403429
305.449615	31.635330
305.618011	31.864616
305.786407	32.102402
305.954773	32.327155
306.123169	32.555877
306.291534	32.788704
306.459900	33.007287
306.628235	33.213258
306.796600	33.435141
306.964935	33.661520
307.133270	33.875670
307.301605	34.087639
307.469940	34.308635
307.638245	34.516779
307.806580	34.730249
307.974884	34.926771
308.143188	35.137027
308.311462	35.326118
308.479767	35.533909
308.648041	35.753445
308.816315	35.954811
308.984589	36.159909
309.152863	36.363723
309.321106	36.558079
309.489380	36.750199
309.657623	36.948671
309.825867	37.151844
309.994080	37.358074
310.162323	37.568292
310.330536	37.755948
310.498749	37.963774
310.666962	38.147053
310.835175	38.313869
311.003357	38.505416
311.171539	38.685708
311.339752	38.880090
311.507904	39.077505
311.676086	39.250457
311.844238	39.426304
312.012421	39.591999
312.180573	39.753758
312.348724	39.913470
312.516846	40.073984
312.684998	40.250567
312.853119	40.412766
313.021240	40.563497
313.189362	40.727348
313.357452	40.885115
313.525574	41.029379
313.693665	41.186305
313.861755	41.309496
314.029846	41.452438
314.197937	41.617384
314.365997	41.769022
314.534058	41.920322
314.702118	42.060149
314.870178	42.206744
315.038239	42.365330
315.206268	42.529646
315.374298	42.673647
315.542328	42.825421
315.710358	42.983678
315.878357	43.125827
316.046387	43.263635
316.214386	43.396628
316.382385	43.537746
316.550385	43.672156
316.718353	43.816550
316.886353	43.939912
317.054321	44.076152
317.222290	44.215264
317.390259	44.368100
317.558197	44.515720
317.726135	44.630548
317.894104	44.757997
318.062012	44.907341
318.229950	45.026187
318.397888	45.152793
318.565796	45.266541
318.733704	45.386735
318.901611	45.478157
319.069519	45.592942
319.237396	45.692357
319.405304	45.801596
319.573181	45.934704
319.741058	46.031754
319.908905	46.128217
320.076782	46.223113
320.244629	46.342207
320.412476	46.428844
320.580322	46.533527
320.748169	46.628079
320.915985	46.707422
321.083801	46.826788
321.251617	46.919651
321.419434	47.004109
321.587250	47.106033
321.755035	47.186444
321.922821	47.278390
322.090607	47.369291
322.258392	47.497643
322.426178	47.603450
322.593933	47.716642
322.761719	47.807840
322.929474	47.900471
323.097198	48.019109
323.264954	48.118868
323.432678	48.221324
323.600403	48.323392
323.768127	48.424457
323.935852	48.513085
324.103577	48.592221
324.271271	48.675846
324.438965	48.747347
324.606659	48.824348
324.774353	48.902466
324.942047	48.974723
325.109711	49.051597
325.277374	49.125500
325.445038	49.202784
325.612701	49.268373
325.780334	49.322642
325.947968	49.394595
326.115631	49.483574
326.283234	49.564142
326.450867	49.621071
326.618500	49.704845
326.786102	49.768214
326.953705	49.811984
327.121307	49.896032
327.288879	49.969710
327.456482	50.053058
327.624054	50.119602
327.791626	50.186577
327.959198	50.248302
328.126770	50.314832
328.294312	50.390403
328.461853	50.471670
328.629395	50.550399
328.796936	50.604170
328.964478	50.682877
329.131989	50.762148
329.299500	50.831603
329.467010	50.896589
329.634521	50.941475
329.802002	51.024068
329.969513	51.097919
330.136993	51.178998
330.304474	51.257693
330.471954	51.319116
330.639404	51.406694
330.806854	51.457435
330.974335	51.529283
331.141754	51.605703
331.309204	51.696689
331.476654	51.791475
331.644073	51.871402
331.811493	51.946695
331.978912	52.000454
332.146332	52.084905
332.313721	52.157647
332.481110	52.238463
332.648499	52.321221
332.815887	52.373176
332.983276	52.457473
333.150635	52.482900
