# Wavelength (nm)	Smoothed Intensity
299.383362	45.316306
299.552002	45.578382
299.720612	45.840368
299.889191	46.102169
300.057800	46.363690
300.226379	46.624835
300.394958	46.885509
300.563538	47.145614
300.732117	47.405057
300.900696	47.663741
301.069244	47.921570
301.237793	48.178450
301.406342	48.434283
301.574890	48.688975
301.743408	48.942430
301.911957	49.194552
302.080475	49.445246
302.248993	49.694415
302.417480	49.941965
302.585999	50.187799
302.754486	50.551777
302.922974	50.791812
303.091461	51.030056
303.259949	51.264823
303.428436	51.496371
303.596893	51.725423
303.765350	51.952525
303.933807	52.177982
304.102264	52.401296
304.270691	52.623372
304.439117	52.843125
304.607574	53.061035
304.776001	53.278186
304.944397	53.493436
305.112823	53.706404
305.281219	53.916206
305.449615	54.124500
305.618011	54.331802
305.786407	54.538006
305.954773	54.743159
306.123169	54.948537
306.291534	55.153038
306.459900	55.356411
306.628235	55.557441
306.796600	55.757002
306.964935	55.954882
307.133270	56.151183
307.301605	56.345947
307.469940	56.539959
307.638245	56.733271
307.806580	56.924025
307.974884	57.112628
308.143188	57.298572
308.311462	57.483870
308.479767	57.667756
308.648041	57.849618
308.816315	58.029124
308.984589	58.206048
309.152863	58.382944
309.321106	58.555627
309.489380	58.726573
309.657623	58.895326
309.825867	59.062173
309.994080	59.227515
310.162323	59.391816
310.330536	59.553945
310.498749	59.714912
310.666962	59.874690
310.835175	60.032129
311.003357	60.185916
311.171539	60.336866
311.339752	60.486649
311.507904	60.634868
311.676086	60.779651
311.844238	60.922383
312.012421	61.063671
312.180573	61.202799
312.348724	61.339041
312.516846	61.472090
312.684998	61.604392
312.853119	61.733284
313.021240	61.859614
313.189362	61.983058
313.357452	62.105415
313.525574	62.225564
313.693665	62.343574
313.861755	62.459768
314.029846	62.574165
314.197937	62.686117
314.365997	62.796252
314.534058	62.905719
314.702118	63.013755
314.870178	63.121059
315.038239	63.226784
315.206268	63.331958
315.374298	63.436513
315.542328	63.541042
315.710358	63.644571
315.878357	63.745780
316.046387	63.847054
316.214386	63.948261
316.382385	64.049667
316.550385	64.151016
316.718353	64.251690
316.886353	64.351875
317.054321	64.452884
317.222290	64.553351
317.390259	64.651303
317.558197	64.749306
317.726135	64.846902
317.894104	64.944871
318.062012	65.041671
318.229950	65.135019
318.397888	65.228280
318.565796	65.319947
318.733704	65.409560
