333.348	1.7
333.679	1.7
334.011	1.7
334.343	3.3
334.674	3.7
335.006	2.7
335.338	2.7
335.670	2.0
336.002	3.7
336.334	3.3
336.666	3.7
336.998	1.0
337.330	-1.0
337.662	-1.7
337.994	-0.3
338.326	1.3
338.658	1.7
338.990	1.3
339.323	2.7
339.655	3.0
339.987	3.0
340.320	1.3
340.652	2.3
340.984	2.3
341.317	2.7
341.649	2.0
341.982	1.3
342.314	1.3
342.647	2.3
342.979	4.7
343.312	5.0
343.645	3.3
343.978	3.0
344.310	2.7
344.643	2.7
344.976	1.0
345.309	0.3
345.642	0.0
345.975	-0.3
346.308	0.3
346.641	0.7
346.974	2.3
347.307	2.3
347.640	1.7
347.973	0.7
348.306	0.3
348.639	1.0
348.972	-0.3
349.306	1.3
349.639	1.3
349.972	4.0
350.306	4.0
350.639	4.7
350.972	4.7
351.306	4.7
351.639	5.7
351.973	5.7
352.306	5.3
352.640	4.0
352.974	3.0
353.307	1.7
353.641	1.0
353.975	-0.7
354.309	0.3
354.642	0.0
354.976	1.7
355.310	1.7
355.644	2.3
355.978	2.7
356.312	2.0
356.646	2.7
356.980	2.0
357.314	2.7
357.648	1.3
357.982	2.0
358.316	1.7
358.651	3.0
358.985	2.3
359.319	2.0
359.653	1.7
359.988	1.3
360.322	1.0
360.656	0.3
360.991	-0.3
361.325	0.0
361.660	0.3
361.994	0.7
362.329	1.0
362.664	0.3
362.998	2.3
363.333	1.3
363.668	2.7
364.002	1.3
364.337	2.3
364.672	2.0
365.007	1.3
365.342	1.7
365.676	1.3
366.011	2.7
366.346	1.7
366.681	3.0
367.016	2.0
367.351	2.7
367.687	1.0
368.022	1.3
368.357	1.0
368.692	1.0
369.027	1.0
369.363	0.0
369.698	1.3
370.033	2.0
370.369	3.0
370.704	2.3
371.039	2.7
371.375	3.0
371.710	3.0
372.046	0.7
372.381	0.3
372.717	-0.7
373.053	1.0
373.388	-0.3
373.724	0.0
374.060	0.0
374.395	3.0
374.731	3.0
375.067	2.7
375.403	0.7
375.739	1.7
376.075	1.3
376.411	1.3
376.747	0.0
377.083	-0.3
377.419	-0.3
377.755	1.0
378.091	2.0
378.427	1.7
378.763	1.3
379.099	1.3
379.436	2.0
379.772	1.0
380.108	1.3
380.445	2.0
380.781	1.7
381.117	1.3
381.454	0.3
381.790	1.0
382.127	1.3
382.463	1.3
382.800	2.0
383.137	1.3
383.473	2.0
383.810	1.0
384.147	1.7
384.483	1.0
384.820	2.3
385.157	0.7
385.494	1.7
385.831	0.3
386.167	0.7
386.504	-0.7
386.841	-0.7
387.178	-0.7
387.515	0.7
387.852	2.0
388.189	3.0
388.527	3.3
388.864	3.0
389.201	4.3
389.538	3.0
