,,,,,,
测量基,HWP_A,QWP_A,HWP_B,QWP_B,符合仪计数,
HH,306.00,111.00,67.00,254.00,1800,
HV,306.00,111.00,112.00,254.00,10,
HL,306.00,111.00,89.50,254.00,800,
HD,306.00,111.00,89.50,299.00,1050,
VD,351.00,111.00,89.50,299.00,475,
VL,351.00,111.00,89.50,254.00,725,
VH,351.00,111.00,67.00,254.00,15,
VV,351.00,111.00,112.00,254.00,1150,
LV,328.50,111.00,112.00,254.00,600,
LH,328.50,111.00,67.00,254.00,875,
LL,328.50,111.00,89.50,254.00,100,
LD,328.50,111.00,89.50,299.00,600,
DD,328.50,156.00,89.50,299.00,1300,
DL,328.50,156.00,89.50,254.00,500,
DH,328.50,156.00,67.00,254.00,750,
DV,328.50,156.00,112.00,254.00,750,

,,,
,保真度实部,保真度虚部,
保真度1,0.92745262,0.00000000,
保真度2,0.91506342,0.00000000,
总计数E,2975.00000000,,

,,,,
密度矩阵实部,,,,
0.59741480,0.04418067,-0.05383207,0.42081410,
0.04418067,0.00553485,-0.00373532,0.04225207,
-0.05383207,-0.00373532,0.00596650,-0.03913578,
0.42081410,0.04225207,-0.03913578,0.39108385,

,,,,
密度矩阵虚部,,,,
0.00000000,-0.03019607,-0.01323693,-0.13031304,
0.03019607,0.00000000,-0.00435215,0.01278791,
0.01323693,0.00435215,0.00000000,0.02436889,
0.13031304,-0.01278791,-0.02436889,0.00000000,
